Degradation,Ratio,TextGuard_Lite,TabShield_Net,SecureFusion_X
Missing Text,0%,0.8608,0.9766,0.9798
Missing Text,10%,0.8381,0.9766,0.9798
Missing Text,20%,0.8107,0.9766,0.9798
Missing Text,30%,0.7793,0.9766,0.9806
Missing Text,40%,0.7635,0.9766,0.9798
Missing Text,50%,0.7393,0.9766,0.9798
Noisy Text,0%,0.8608,0.9766,0.9798
Noisy Text,10%,0.859,0.9766,0.9798
Noisy Text,20%,0.8603,0.9766,0.9798
Noisy Text,30%,0.8549,0.9766,0.9806
Noisy Text,40%,0.8505,0.9766,0.9805
